Restaurant_Name,Nickname,Content,Date,Revisit,nouns,words,sent_score,matched_words
대패생각 하양점,쌉손,대패삼겹살이 정말 밥도둑인데 양까지 푸짐해요! 반찬도 다양하고 매장이 청결하고 쾌적해서 더 좋았어요~ 대패삼겹살이 생각나면 여기로 다시 올것같아요^^* 하양맛집 완전 인정입니다!!,3.19.수,1번째 방문,대패 삼겹살 밥도둑 양 반찬 다양 매장 청결 좋 대패 삼겹살 같 하양 맛집 완전 인정,대패 삼겹살 밥도둑 양 반찬 다양 매장 청결 좋다 대패 삼겹살 생각나다 같다 하양 맛집 완전 인정,0.294117647,"['좋다', '맛집', '인정']"
대패생각 하양점,lee****,집근처에 아이들놀이방있는 고기집!대형고기집이라서 모임하기에도 좋고특히 신선한야채가득이라서 다양하게 쌈싸먹기좋아요!특히 제주뒷고기대패는 사랑♥️♥️♥️아이는 계란찜에 밥비벼서 먹이고 놀이방보내면부부끼리 편하게 밥먹을수 있어요,3.14.금,1번째 방문,집 근처 아이 놀이방 고기 집 대형 고기 집 모임 좋 야채 가득 다양 좋 제주 고기 대패 사랑 아이 계란찜 밥 놀이방 부부 편하 밥,집 근처 아이 놀이방 있다 고기 집 대형 고기 집 모임 좋다 야채 가득 다양 먹다 좋다 제주 고기 대패 사랑 아이 계란찜 밥 먹이다 놀이방 보내다 부부 편하다 밥 먹다 있다,0.25,"['좋다', '좋다', '사랑', '편하다']"
대패생각 하양점,바나나가 싫다,괜찮음!!!,3.9.일,1번째 방문,괜찮,괜찮다,1,['괜찮다']
대패생각 하양점,유쾌90,하양에대패맛집있다고해서와보았어요~~^^,3.1.토,1번째 방문,하양 대패 맛집,하양 대패 맛집 있다,0.5,['맛집']
대패생각 하양점,myt****,고기도 고기지만 야채샐러드바에 종류도 너무많고 특히나 너무신선하게 관리하고있어서놀랬습니다!! 테이블에불판도 굽기너무편했고요 각자 먹는스타일이 다 다를텐테 취향껏 먹을수있어서 너무좋았습니다!!👍,2.16.일,1번째 방문,고기 고기 야채샐러드 종류 많 관리 테이블 불판 스타일 취향 좋,고기 고기 야채샐러드 종류 많다 관리 테이블 불판 굽다 먹다 스타일 취향 먹다 있다 좋다,0.266666667,"['많다', '좋다']"
대패생각 하양점,dudghk0325,언제나 맛있게 잘먹고 와요~신선한 채소들은 보기만해도 기분이 좋아지네요^^늘 만족하고 오는곳♡,2.16.일,2번째 방문,맛있 채소 기분 좋 만족 곳,맛있다 먹다 채소 보다 기분 좋다 만족 오다 곳,0.666666667,"['맛있다', '좋다', '만족']"
대패생각 하양점,이백조,고기가 맛있고 야채가 신선해요.  직원분들이 친절해서 갈 때마다 기분 좋은 곳이에요,2.16.일,1번째 방문,고기 맛있 야채 직원 친절 때 기분 좋 곳,고기 맛있다 야채 직원 친절 때 기분 좋다 곳,0.666666667,"['맛있다', '친절', '좋다']"
대패생각 하양점,블루골드12,요즘같은 고물가에 고기 맛있고 가성비 도 좋은 우리집 외식장소 에요.40여가지 신선한 야채 그득한 샐러드바고기 와 먹으면 더 맛있는 상추.깻잎등 쌈종류.양파간장소스.고사리.콩나물까지  다양하게 구성좋아 양껏 먹을수 있어요무엇보다 애들이 여기만 오면 밥 한공기 뚝딱 ㅎㅎ올때마다 감동입니다. 최고최고!,2.14.금,1번째 방문,같 고물가 고기 맛있 성비 좋 집 외식 장소 야채 샐러드 바 고기 맛있 상추 깻잎 쌈 종류 양파 간장 소스 고사리 콩나물 다양 구성 좋 애 밥 공기 때 감동 최고 최고,같다 고물가 고기 맛있다 성비 좋다 집 외식 장소 야채 샐러드 바 고기 먹다 맛있다 상추 깻잎 쌈 종류 양파 간장 소스 고사리 콩나물 다양 구성 좋다 먹다 있다 애 오다 밥 공기 때 감동 최고 최고,0.378378378,"['맛있다', '좋다', '맛있다', '좋다', '감동', '최고', '최고']"
대패생각 하양점,구름복숭아,하양맛집 대패생각! 프리미엄 대패 먹었는데 정말 맛있었어요. 다양한 쌈채소랑 먹으니 삼겹살 먹는데도 건강해지는 느낌ㅋㅋㅋ 마무리로 볶음밥까지 최고였습니다.,2.14.금,1번째 방문,하양 맛집 대패 생각 프리미엄 대패 맛있 쌈 채소 삼겹살 건강 마무리 볶음밥 최고,하양 맛집 대패 생각 프리미엄 대패 먹다 맛있다 쌈 채소 먹다 삼겹살 먹다 건강 마무리 볶음밥 최고,0.352941176,"['맛집', '맛있다', '최고']"
대패생각 하양점,hyb****,남자친구랑 어머님이랑 방문했어요! 야채종류가 정말 많아서 어머니가 엄청 좋아하셨고 고기 냄새도 안나서 너무 맛있게 먹었어요! 매장도 넓고 깨끗했고 손님들이 정말 많았어요! 음식도 깔끔하니 좋고 직원분들도 친절하고 가성비도 너무 좋아서 자주 방문 할거 같아요!,2.12.수,1번째 방문,남자 친구 어머님 방문 야채 종류 많 어머니 좋 고기 냄새 맛있 넓 손님 많 음식 좋 직원 친절 성비 좋 방문 같,남자 친구 어머님 방문 야채 종류 많다 어머니 좋다 고기 냄새 나다 맛있다 먹다 넓다 손님 많다 음식 좋다 직원 친절 성비 좋다 방문 같다,0.6,"['친구', '많다', '좋다', '맛있다', '많다', '좋다', '친절', '좋다']"
