store_name,긍정해시태그,부정해시태그,감성점수
대패생각 하양점,"['#좋다', '#맛집', '#인정', '#좋다', '#좋다', '#사랑', '#편하다', '#괜찮다', '#맛집', '#많다', '#좋다', '#맛있다', '#좋다', '#만족', '#맛있다', '#친절', '#좋다', '#맛있다', '#좋다', '#맛있다', '#좋다', '#감동', '#최고', '#최고', '#맛집', '#맛있다', '#최고', '#친구', '#많다', '#좋다', '#맛있다', '#많다', '#좋다', '#친절', '#좋다', '#좋다', '#맛집', '#좋다', '#좋다', '#좋다', '#맛있다', '#맛있다', '#좋다', '#좋다', '#맛있다', '#맛있다', '#많다', '#좋다', '#좋다', '#맛있다', '#좋다', '#좋다', '#맛있다', '#많다', '#맛있다', '#좋다', '#많다', '#좋다', '#맛있다', '#강추', '#맛있다', '#좋다', '#좋다', '#맛있다', '#좋다', '#좋다', '#좋다', '#만족', '#많다', '#최고', '#좋다', '#많다', '#좋다', '#맛있다', '#만족', '#좋다', '#좋다', '#좋다', '#맛있다', '#좋다', '#편하다', '#좋다', '#많다', '#친구', '#좋다', '#많다', '#만족', '#좋다', '#맛있다', '#최고', '#좋다', '#맛있다', '#많다', '#좋다', '#좋다', '#좋다', '#괜찮다', '#좋다', '#맛있다', '#편하다', '#좋다', '#좋다', '#맛있다', '#맛있다', '#좋다', '#많다', '#괜찮다', '#좋다', '#친절', '#맛있다', '#맛있다', '#좋다', '#친절', '#맛집', '#최고', '#좋다', '#좋다', '#괜찮다', '#맛있다', '#맛있다', '#좋다', '#좋다', '#좋다', '#재미', '#좋다', '#좋다', '#맛있다', '#최고', '#많다', '#친절', '#만족', '#맛있다', '#좋다', '#좋다', '#놀다', '#편하다', '#축하', '#맛있다', '#맛있다', '#좋다', '#맛있다', '#좋다', '#크다', '#맛있다', '#좋다', '#좋다', '#좋다', '#맛집', '#좋다', '#좋다', '#맛있다', '#좋다', '#좋다', '#빠르다', '#좋다', '#좋다', '#좋다', '#맛있다', '#많다', '#괜찮다', '#맛있다', '#놀다', '#놀다', '#놀다', '#좋다', '#맛있다', '#맛있다', '#좋다', '#좋다', '#좋다', '#좋다', '#맛있다', '#친절', '#맛있다', '#맛있다', '#맛있다', '#많다', '#맛있다', '#많다', '#친절', '#좋다', '#좋다', '#좋다', '#맛있다', '#좋다', '#맛있다', '#만족', '#맛있다', '#좋다', '#맛있다', '#좋다', '#맛있다', '#좋다', '#많다', '#맛있다', '#좋다', '#맛있다', '#최고', '#최고', '#맛집', '#많다', '#좋다', '#맛집', '#많다', '#최고', '#좋다', '#친절', '#맛있다', '#좋다', '#맛집', '#친절', '#좋다', '#맛있다', '#좋다', '#친절', '#맛있다', '#맛있다', '#맛있다', '#좋다', '#좋다', '#좋다', '#좋다', '#최고', '#맛있다', '#좋다', '#좋다', '#맛있다', '#만족', '#좋다', '#갖추다', '#좋다', '#좋다', '#맛집', '#좋다', '#좋다', '#좋다', '#많다', '#맛있다', '#좋다', '#많다', '#신나다', '#놀다', '#맛있다', '#좋다', '#맛있다', '#좋다', '#놀다', '#좋다', '#친절', '#맛있다', '#맛집', '#좋다', '#맛있다', '#맛있다', '#많다', '#좋다', '#야무지다', '#좋다', '#좋다', '#좋다', '#친절', '#좋다', '#많다', '#좋다', '#많다', '#좋다', '#좋다', '#맛있다', '#많다', '#좋다', '#크다', '#좋다', '#맛집', '#좋다', '#좋다', '#맛집', '#인정', '#좋다', '#좋다', '#사랑', '#편하다', '#괜찮다', '#맛집', '#많다', '#좋다', '#맛있다', '#좋다', '#만족', '#맛있다', '#친절', '#좋다', '#맛있다', '#좋다', '#맛있다', '#좋다', '#감동', '#최고', '#최고', '#맛집', '#맛있다', '#최고', '#친구', '#많다', '#좋다', '#맛있다', '#많다', '#좋다', '#친절', '#좋다', '#좋다', '#맛집', '#좋다', '#좋다', '#좋다', '#맛있다', '#맛있다', '#좋다', '#좋다', '#맛있다', '#맛있다', '#많다', '#좋다', '#좋다', '#맛있다', '#좋다', '#좋다', '#맛있다', '#많다', '#맛있다', '#좋다', '#많다', '#좋다', '#맛있다', '#강추', '#맛있다', '#좋다', '#좋다', '#맛있다', '#좋다', '#좋다', '#좋다', '#만족', '#많다', '#최고', '#좋다', '#많다', '#좋다', '#맛있다', '#만족', '#좋다', '#좋다', '#좋다', '#맛있다', '#좋다', '#편하다', '#좋다', '#많다', '#친구', '#좋다', '#많다', '#만족', '#좋다', '#맛있다', '#최고', '#좋다', '#맛있다', '#많다', '#좋다', '#좋다', '#좋다', '#괜찮다', '#좋다', '#맛있다', '#편하다', '#좋다', '#좋다', '#맛있다', '#맛있다', '#좋다', '#많다', '#괜찮다', '#좋다', '#친절', '#맛있다', '#맛있다', '#좋다', '#친절', '#맛집', '#최고', '#좋다', '#좋다', '#괜찮다', '#맛있다', '#맛있다', '#좋다', '#좋다', '#좋다', '#재미', '#좋다', '#좋다', '#맛있다', '#최고', '#많다', '#친절', '#만족', '#맛있다', '#좋다', '#좋다', '#놀다', '#편하다', '#축하', '#맛있다', '#맛있다', '#좋다', '#맛있다', '#좋다', '#크다', '#맛있다', '#좋다', '#좋다', '#좋다', '#맛집', '#좋다', '#좋다', '#맛있다', '#좋다', '#좋다', '#빠르다', '#좋다', '#좋다', '#좋다', '#맛있다', '#많다', '#괜찮다', '#맛있다', '#놀다', '#놀다', '#놀다', '#좋다', '#맛있다', '#맛있다', '#좋다', '#좋다', '#좋다', '#좋다', '#맛있다', '#친절', '#맛있다', '#맛있다', '#맛있다', '#많다', '#맛있다', '#많다', '#친절', '#좋다', '#좋다', '#좋다', '#맛있다', '#좋다', '#맛있다', '#만족', '#맛있다', '#좋다', '#맛있다', '#좋다', '#맛있다', '#좋다', '#많다', '#맛있다', '#좋다', '#맛있다', '#최고', '#최고', '#맛집', '#많다', '#좋다', '#맛집', '#많다', '#최고', '#좋다', '#친절', '#맛있다', '#좋다', '#맛집', '#친절', '#좋다', '#맛있다', '#좋다', '#친절', '#맛있다', '#맛있다', '#맛있다', '#좋다', '#좋다', '#좋다', '#좋다', '#최고', '#맛있다', '#좋다', '#좋다', '#맛있다', '#만족', '#좋다', '#갖추다', '#좋다', '#좋다', '#맛집', '#좋다', '#좋다', '#좋다']","['#없다', '#아깝다', '#없다', '#없다', '#짧다', '#흘리다', '#없다', '#아깝다', '#없다', '#없다', '#짧다']",976
교동면옥 하양점,"['#맛있다', '#맛있다', '#맛있다', '#맛있다', '#실하다', '#많다', '#친절', '#맛있다', '#실하다', '#좋다', '#많다', '#맛있다', '#친절', '#맛있다', '#맛있다', '#맛있다', '#감사', '#많다', '#친절', '#맛있다', '#최고', '#맛있다', '#맛있다', '#감사', '#맛있다', '#많다', '#좋다', '#좋다', '#감동', '#기대', '#기대', '#좋다', '#좋다', '#맛있다', '#맛있다', '#좋다', '#괜찮다', '#맛있다', '#맛있다', '#좋다', '#좋다', '#맛있다', '#받다', '#크다', '#많다', '#좋다', '#좋다', '#맛있다', '#많다', '#맛있다', '#맛있다', '#성공', '#좋다', '#친절', '#편하다', '#좋다', '#맛있다', '#맛있다', '#맛있다', '#믿다', '#최고', '#좋다', '#맛있다', '#최고', '#웃다', '#친절', '#맛있다', '#맛있다', '#맛있다', '#편하다', '#좋다', '#최고', '#편하다', '#맛있다', '#맛있다', '#맛있다', '#편하다', '#좋다', '#맛있다', '#맛있다', '#편하다', '#좋다', '#맛집', '#친절', '#좋다', '#맛집', '#좋다', '#좋다', '#좋다', '#맛있다', '#맛있다', '#좋다', '#좋다', '#맛있다', '#좋다', '#좋다', '#좋다', '#좋다', '#맛있다', '#친절', '#많다', '#맛있다', '#만족', '#좋다', '#맛있다', '#좋아하다', '#맛있다', '#많다', '#좋다', '#맛있다', '#많다', '#좋다', '#맛있다', '#희망', '#맛있다', '#친절', '#좋다', '#부드럽다', '#맛있다', '#좋다', '#최고', '#맛집', '#많다', '#맛있다', '#좋다', '#좋다', '#최고', '#맛있다', '#많다', '#좋다', '#많다', '#좋다', '#맛있다', '#좋다', '#맛있다', '#친절', '#좋다', '#맛있다', '#맛있다', '#많다', '#맛있다', '#좋다', '#맛있다', '#좋다', '#좋다', '#좋다', '#맛있다', '#맛있다', '#좋다', '#좋다', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#좋다', '#맛있다', '#좋다', '#좋다', '#맛있다', '#좋다', '#맛있다', '#좋다', '#맛있다', '#맛있다', '#좋다', '#좋다', '#맛있다', '#많다', '#맛있다', '#친절', '#좋다', '#맛있다', '#맑다', '#좋다', '#좋다', '#친절', '#감사', '#맛있다', '#맛있다', '#맛있다', '#강추', '#좋다', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#실하다', '#많다', '#친절', '#맛있다', '#실하다', '#좋다', '#많다', '#맛있다', '#친절', '#맛있다', '#맛있다', '#맛있다', '#감사', '#많다', '#친절', '#맛있다', '#최고', '#맛있다', '#맛있다', '#감사', '#맛있다', '#많다', '#좋다', '#좋다', '#감동', '#기대', '#기대', '#좋다', '#좋다', '#맛있다', '#맛있다', '#좋다', '#괜찮다', '#맛있다', '#맛있다', '#좋다', '#좋다', '#맛있다', '#받다', '#크다', '#많다', '#좋다', '#좋다', '#맛있다', '#많다', '#맛있다', '#맛있다', '#성공', '#좋다', '#친절', '#편하다', '#좋다', '#맛있다', '#맛있다', '#맛있다', '#믿다', '#최고', '#좋다', '#맛있다', '#최고', '#웃다', '#친절', '#맛있다', '#맛있다', '#맛있다', '#편하다', '#좋다', '#최고', '#편하다', '#맛있다', '#맛있다', '#맛있다', '#편하다', '#좋다', '#맛있다', '#맛있다', '#편하다', '#좋다', '#맛집', '#친절', '#좋다', '#맛집', '#좋다', '#좋다', '#좋다', '#맛있다', '#맛있다', '#좋다', '#좋다', '#맛있다', '#좋다', '#좋다', '#좋다', '#좋다', '#맛있다', '#친절', '#많다', '#맛있다', '#만족', '#좋다', '#맛있다', '#좋아하다', '#맛있다', '#많다', '#좋다', '#맛있다', '#많다', '#좋다', '#맛있다', '#희망', '#맛있다', '#친절', '#좋다', '#부드럽다', '#맛있다', '#좋다', '#최고', '#맛집', '#많다', '#맛있다', '#좋다', '#좋다', '#최고', '#맛있다', '#많다', '#좋다', '#많다', '#좋다', '#맛있다', '#좋다', '#맛있다', '#친절', '#좋다', '#맛있다', '#맛있다', '#많다', '#맛있다', '#좋다', '#맛있다', '#좋다', '#좋다', '#좋다', '#맛있다', '#맛있다', '#좋다', '#좋다', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#좋다', '#맛있다', '#좋다', '#좋다', '#맛있다', '#좋다', '#맛있다', '#좋다', '#맛있다', '#맛있다', '#좋다', '#좋다', '#맛있다', '#많다', '#맛있다', '#친절', '#좋다', '#맛있다', '#맑다', '#좋다', '#좋다', '#친절', '#감사', '#맛있다', '#맛있다', '#맛있다', '#강추', '#좋다', '#맛있다', '#맛있다', '#좋다', '#친절', '#맛있다']","['#싫다', '#없다', '#맛없다', '#없다', '#없다', '#없다', '#비싸다', '#막히다', '#없다', '#싫다', '#없다', '#맛없다', '#없다', '#없다', '#없다', '#비싸다', '#막히다', '#없다', '#비싸다', '#맛없다']",697
미즈컨테이너 대구대학교점,"['#받다', '#좋다', '#맛있다', '#강추', '#맛있다', '#좋다', '#좋다', '#괜찮다', '#맛있다', '#기대', '#좋다', '#좋다', '#사랑', '#좋다', '#맛있다', '#좋다', '#많다', '#많다', '#최고', '#좋다', '#감사', '#맛있다', '#좋다', '#최고', '#많다', '#맛있다', '#많다', '#맛있다', '#맛있다', '#맛있다', '#많다', '#맛있다', '#좋다', '#맛있다', '#좋다', '#맛있다', '#좋다', '#즐기다', '#많다', '#맛있다', '#맛있다', '#좋다', '#맛있다', '#맛있다', '#많다', '#좋다', '#최고', '#행복', '#좋다', '#재미', '#맛있다', '#만족', '#최고', '#맛있다', '#좋다', '#맛있다', '#맛있다', '#최고', '#맛집', '#인정', '#좋다', '#맛집', '#좋다', '#맛있다', '#맛있다', '#좋다', '#맛있다', '#만족', '#맛있다', '#좋다', '#개선', '#맛있다', '#맛집', '#최고', '#끌다', '#좋다', '#맛있다', '#좋다', '#맛있다', '#좋다', '#맛있다', '#맛있다', '#맛있다', '#최고', '#맛있다', '#맛있다', '#좋다', '#맛있다', '#맛있다', '#감사', '#감사', '#좋다', '#맛있다', '#맛있다', '#많다', '#맛집', '#받다', '#좋다', '#맛있다', '#맛집', '#맛있다', '#좋다', '#좋다', '#최고', '#좋다', '#좋다', '#놀다', '#놀다', '#맛있다', '#좋다', '#맛있다', '#맛있다', '#좋다', '#감사', '#감사', '#많다', '#좋다', '#맛있다', '#도리', '#인정', '#맛있다', '#맛집', '#맛있다', '#좋다', '#많다', '#좋다', '#맛있다', '#친절', '#받다', '#좋다', '#맛있다', '#대접', '#맛있다', '#좋다', '#맛집', '#좋다', '#많다', '#좋다', '#강하다', '#좋다', '#많다', '#만족', '#맛집', '#맛있다', '#맛있다', '#맛있다', '#좋다', '#좋다', '#많다', '#좋다', '#맛집', '#이벤트', '#많다', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#좋다', '#맛있다', '#맛있다', '#좋다', '#좋다', '#맛있다', '#맛있다', '#맛있다', '#좋다', '#맛있다', '#맛있다']","['#없다', '#불편', '#없다', '#부담', '#정신없다', '#없다', '#없다', '#없다', '#없다', '#없다', '#정신없다', '#불편', '#불편', '#해', '#없다', '#찌꺼기', '#없다', '#없다', '#없다', '#아쉽다']",297
비사이드,"['#맛있다', '#좋다', '#맛있다', '#좋다', '#맛있다', '#좋다', '#좋다', '#좋다', '#맛있다', '#감사', '#많다', '#좋다', '#맛집', '#친절', '#친절', '#도리', '#맛있다', '#좋다', '#친절', '#친절', '#맛있다', '#좋다', '#이벤트', '#좋다', '#좋다', '#맛있다', '#친구', '#좋다', '#맛있다', '#좋다', '#좋다', '#맛있다', '#좋다', '#많다', '#좋다', '#친구', '#좋다', '#친절', '#최고', '#맛있다', '#친절', '#좋다', '#만족', '#많다', '#좋다', '#친절', '#친절', '#맛있다', '#맛있다', '#맛집', '#좋다', '#좋다', '#맛있다', '#많다', '#친절', '#맛있다', '#친구', '#좋다', '#맛있다', '#좋다', '#좋다', '#강추', '#많다', '#좋다', '#맛있다', '#좋다', '#좋다', '#맛있다', '#고르다', '#좋다', '#친절', '#맛있다', '#좋다', '#좋다', '#좋다', '#맛있다', '#좋다', '#좋다', '#강추', '#많다', '#좋다', '#맛있다', '#좋다', '#좋다', '#맛있다', '#고르다', '#좋다', '#친절', '#맛있다', '#좋다', '#좋다', '#좋다', '#좋다', '#좋다', '#좋다']",[],185
비호생활관 학생식당 다올,"['#맛있다', '#감사', '#필수', '#최고', '#맛있다', '#많다', '#맛있다', '#강추', '#좋다', '#좋다', '#좋다', '#좋다', '#괜찮다', '#많다', '#좋다', '#맛있다', '#맛있다', '#좋다', '#많다', '#좋다', '#좋다', '#좋다', '#좋다', '#좋다', '#좋다', '#좋다', '#좋다', '#좋다', '#좋다', '#좋다', '#맛있다']",[],60
섬섬밀밀,"['#좋다', '#맛있다', '#편하다', '#친절', '#좋다', '#좋다', '#맛있다', '#많다', '#좋다', '#많다', '#좋다', '#많다', '#좋다', '#맛있다', '#맛있다', '#많다', '#좋다', '#친절', '#맛있다', '#좋다', '#좋다', '#좋다', '#만족', '#편하다', '#좋다', '#맛있다', '#좋다', '#최고', '#편안', '#휴식', '#좋다', '#맛있다', '#많다', '#좋다', '#맛있다', '#맛있다', '#좋다', '#좋다', '#맛있다', '#좋다', '#맛있다', '#좋다', '#친절', '#맛있다', '#이쁘다', '#많다', '#맛있다', '#맛있다', '#좋다', '#많다', '#만족', '#맛있다', '#맛있다', '#맛있다', '#친절', '#좋다', '#맛있다', '#맛있다', '#맛있다', '#많다', '#좋다', '#많다', '#좋다', '#편안', '#맛있다', '#최고', '#맛있다', '#좋다', '#맛있다', '#좋다', '#편안', '#좋다', '#좋다', '#크다', '#좋다', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#예쁘다', '#좋다', '#맛있다', '#맛있다', '#맛있다', '#좋다', '#맛있다', '#맛있다', '#고급', '#많다', '#받다', '#많다', '#많다', '#고르다', '#좋다', '#맛있다', '#맛있다', '#좋다', '#맛있다', '#맛있다', '#맛있다', '#좋다', '#멋지다', '#맛있다', '#좋다', '#편하다', '#좋다', '#좋다', '#맛있다', '#크다', '#많다', '#고르다', '#맛집', '#멋지다', '#맛있다', '#맛있다', '#좋다', '#편하다', '#맛있다', '#좋다', '#맛있다', '#맛있다', '#좋다', '#여유', '#좋다', '#편하다', '#많다', '#맛있다', '#맛있다', '#좋다', '#맛있다', '#좋다', '#좋다', '#맛있다', '#맛있다', '#강추', '#크다', '#맛있다', '#좋다', '#좋다', '#좋다', '#맛있다', '#좋다', '#맛있다', '#좋다', '#좋다', '#좋다', '#맛있다', '#강추', '#맛있다', '#친절', '#받다', '#도리', '#좋다', '#많다', '#도리', '#좋다', '#좋다', '#맛집', '#최고', '#좋다', '#좋다', '#친절', '#좋다', '#맛있다', '#좋다', '#좋다', '#많다', '#좋다', '#맛있다', '#많다', '#만족', '#좋다', '#좋다', '#친구', '#맛있다', '#친절', '#맛있다', '#맛있다', '#맛집', '#편하다', '#좋다', '#맛있다', '#좋다', '#많다', '#친절', '#좋다', '#맛있다', '#맛있다', '#좋다', '#맛있다', '#친구', '#좋다', '#좋다', '#좋다', '#맛있다', '#맛있다', '#맛있다', '#좋다', '#맛있다', '#많다', '#많다', '#좋다', '#좋다', '#좋다', '#맛있다', '#맛있다', '#좋다', '#맛있다', '#좋다', '#맛있다', '#좋다', '#좋다', '#좋다', '#좋다', '#맛있다', '#좋다', '#많다', '#좋다', '#친구', '#좋다', '#편하다', '#많다', '#좋다', '#만족', '#많다', '#좋다', '#최고', '#맛있다', '#천사', '#이쁘다', '#좋다', '#맛있다', '#많다', '#좋다', '#맛있다', '#맛있다', '#많다', '#많다', '#좋다', '#많다', '#괜찮다', '#많다', '#맛있다', '#좋다', '#좋다', '#이벤트', '#맛있다', '#많다', '#만족', '#맛있다', '#좋다', '#많다', '#최고', '#맛있다', '#괜찮다', '#친절', '#좋다', '#좋다', '#많다', '#맛있다', '#좋다', '#놀다', '#좋다', '#맛있다', '#친절', '#감사', '#좋다', '#좋다', '#좋다', '#맛있다', '#좋다', '#좋다', '#크다', '#최고', '#맛있다', '#맛있다', '#좋다', '#좋다', '#맛있다', '#맛있다', '#강추']","['#장애', '#떨다', '#힘들다', '#부담', '#시끄럽다', '#없다', '#없다']",533
닭동가리 대구대점,"['#맛있다', '#좋다', '#맛있다', '#친절', '#맛있다', '#많다']",['#없다'],11
쪼닭 쪼림닭 대구대점,"['#친구', '#많다', '#맛있다', '#친절', '#최고', '#좋다', '#맛있다', '#맛있다', '#맛집', '#맛있다', '#사랑', '#맛있다', '#맛있다', '#필수', '#맛있다', '#맛있다', '#친구', '#최고', '#맛있다', '#많다', '#맛집', '#좋다', '#맛있다', '#맛있다', '#많다', '#맛있다', '#좋다', '#여유', '#맛있다', '#최고', '#조화', '#이루다', '#돋보이다', '#행복', '#친구', '#좋다', '#좋다', '#감동', '#좋다', '#맛있다', '#맛있다', '#맛집', '#좋다', '#좋다', '#맛집', '#필수', '#맛있다', '#많다', '#맛있다', '#좋다', '#맛있다', '#맛집', '#맛있다', '#맛있다', '#강추', '#좋다', '#좋다', '#필수', '#강추', '#맛있다', '#좋다', '#맛있다', '#믿다', '#많다', '#맛있다', '#좋다', '#맛있다', '#맛있다', '#많다', '#좋다', '#많다', '#친절', '#강추', '#맛집', '#맛있다', '#맛있다', '#많다', '#맛있다', '#많다', '#많다', '#사랑', '#좋다', '#맛있다', '#젊다', '#친절', '#많다', '#좋다', '#맛있다', '#친절', '#맛있다', '#좋다', '#맛있다', '#맛있다', '#맛있다', '#좋다', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#많다', '#맛있다', '#맛있다', '#맛있다', '#좋다', '#좋다', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#최고', '#좋다', '#맛있다', '#많다', '#맛있다', '#맛있다', '#많다', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#좋다', '#맛있다', '#친구', '#맛있다', '#맛있다', '#많다', '#맛있다', '#많다', '#좋다']","['#없다', '#늘어나다', '#없다', '#없다']",246
도화,"['#맛있다', '#맛집', '#맛있다', '#맛있다', '#맛있다', '#감사', '#좋다', '#친절', '#맛있다', '#좋다', '#맛있다', '#맛있다', '#친절', '#맛있다', '#좋다']",[],30
환도네 대구대점,"['#맛있다', '#맛집', '#좋다', '#맛있다', '#편하다', '#좋다', '#많다', '#많다', '#좋다', '#많다', '#재미', '#맛있다', '#좋다', '#맛있다', '#친절', '#맛있다', '#맛집', '#인정', '#맛있다', '#많다', '#맛있다', '#맛있다', '#맛있다', '#멋', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#좋다', '#맛있다', '#많다', '#좋다', '#좋다', '#맛있다', '#부드럽다', '#필수', '#맛있다', '#맛있다', '#친절', '#맛있다', '#맛있다', '#친절', '#맛있다', '#친절', '#좋다', '#좋다', '#좋다', '#많다', '#좋다', '#좋다', '#편하다', '#맛있다', '#맛있다', '#맛있다', '#친구', '#좋다', '#맛있다', '#최고', '#맛있다', '#믿다', '#맛있다', '#친절', '#맛있다', '#친구', '#맛있다', '#맛있다', '#친절', '#좋다', '#친구', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#좋다', '#맛있다', '#좋다', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#많다', '#맛있다', '#맛있다', '#강추', '#친절', '#맛있다', '#좋다', '#많다', '#맛있다', '#맛있다', '#맛있다', '#많다', '#좋다', '#도리', '#맛있다', '#좋다', '#애정', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#부드럽다', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#친절', '#맛있다', '#맛있다', '#좋다', '#친절', '#맛있다', '#감사', '#좋다', '#도리', '#믿다', '#맛있다', '#맛있다', '#많다', '#좋다', '#맛있다', '#맛있다', '#맛있다', '#좋다', '#맛있다', '#많다', '#맛있다', '#맛있다', '#좋다', '#맛있다', '#맛있다', '#맛있다', '#부드럽다', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#도리', '#맛있다', '#맛있다', '#최고', '#많다', '#좋다', '#맛있다', '#맛집', '#젊다', '#친절', '#좋다', '#맛있다', '#맛있다', '#맛있다', '#최고', '#맛있다', '#맛있다', '#좋다', '#맛있다', '#친절', '#부드럽다', '#맛있다', '#많다', '#맛있다', '#믿다', '#맛집', '#맛있다', '#최고', '#맛있다', '#친절', '#최고', '#맛있다', '#맛집', '#맛있다', '#즐기다', '#맛있다', '#맛집', '#맛있다', '#만족', '#맛있다', '#맛있다', '#맛있다', '#강추', '#맛있다', '#많다', '#맛있다', '#맛있다', '#많다', '#맛있다', '#맛있다', '#친절', '#맛있다', '#맛집', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#맛집', '#맛있다', '#맛집', '#맛있다', '#맛있다', '#맛집', '#맛있다', '#맛있다', '#좋다', '#많다', '#맛있다', '#많다', '#맛있다', '#많다', '#편하다', '#많다', '#좋다', '#맛있다', '#친구', '#좋다', '#맛있다', '#믿다', '#맛있다', '#맛있다', '#맛있다', '#맛있다', '#좋다', '#맛있다', '#맛있다', '#맛있다', '#맛집', '#맛있다', '#맛있다', '#좋다', '#최고', '#맛집', '#맛있다', '#맛있다', '#부드럽다', '#맛집', '#맛있다', '#친절', '#맛집', '#많다', '#맛있다', '#맛있다', '#맛집', '#맛있다', '#맛있다', '#맛집', '#최고', '#맛있다', '#맛있다', '#친절', '#맛집', '#맛있다', '#필수', '#맛집', '#맛있다', '#맛있다', '#맛있다', '#도리', '#믿다', '#도리', '#도리', '#맛집', '#맛집', '#맛있다', '#맛있다', '#맛있다', '#맛집', '#맛집', '#편하다', '#맛있다', '#맛집', '#맛집', '#인정', '#맛집', '#많다', '#좋다', '#맛있다', '#맛있다', '#많다', '#맛있다', '#친절', '#맛집', '#많다', '#맛있다', '#친절', '#좋다', '#맛집', '#맛있다', '#친절', '#감사', '#맛집', '#맛있다', '#맛집', '#맛집', '#맛집', '#맛있다', '#맛집', '#맛있다', '#맛집', '#맛집', '#맛있다', '#맛집', '#맛집', '#맛집', '#맛집', '#친절', '#맛있다', '#맛있다', '#좋다', '#많다', '#맛있다', '#강추', '#많다', '#맛있다', '#맛있다']","['#늦다', '#없다', '#피로', '#없다', '#없다', '#늦다', '#없다', '#바보', '#없다', '#해', '#없다', '#질리다', '#없다']",597
