음식점,카테고리,별점,리뷰 수,전화번호,주소,restaurant_id,category_id
아웃닭 하양점,한식,1.0,0.023183925811437404,053-853-8292,경북 경산시 하양읍 하양로 26 1층,254,68
나잇앤데이,카페/디저트,0.9,0.013910355486862442,,경북 경산시 진량읍 대구대로 214,55,61
타코베어,카페/디저트,0.9400000000000001,0.0030911901081916537,,경북 경산시 진량읍 대구대로 230 F동 102호,404,61
설빙 경산하양점,디저트카페,0.8400000000000001,0.02009273570324575,053-856-4123,경북 경산시 하양읍 하양로 61-1 1층,215,19
심가튀김족발,"족발,보쌈",1.0,0.00463678516228748,053-854-3989,경북 경산시 진량읍 봉황길 63 1층,248,52
아지트 8-1,카페,1.0,0.0015455950540958269,,경북 경산시 하양읍 아낙고개길 8-1 2층,257,60
준삼겹프리미엄돈육 진량하양점,"육류,고기",1.0,0.0015455950540958269,,경북 경산시 진량읍 대구대로 73,350,42
핸즈커피 하양점,카페/디저트,0.9400000000000001,0.23338485316846985,053-851-1088,경북 경산시 하양읍 하양로 232,455,61
김밥마실 공단점,분식,0.5,0.0015455950540958269,053-854-4040,경북 경산시 진량읍 공단로 462,49,25
도기온,애견카페,0.74,0.11901081916537867,053-851-9271,경북 경산시 하양읍 대경로 117,92,38
본죽&비빔밥cafe 대구대학교점,퓨전한식,0.9,0.0015455950540958269,053-856-3380,경북 경산시 진량읍 대구대로 244 1층,185,66
러빗커피,카페,1.0,0.00463678516228748,,경북 경산시 진량읍 대구대로60길 5-10 1층,116,60
토우,"육류,고기",1.0,0.0015455950540958269,053-852-3043,경북 경산시 진량읍 영청길 27,412,42
마마밥상,한식,1.0,0.11128284389489954,053-851-7798,경북 경산시 진량읍 공단로100길 7,123,68
이삭토스트 경산대구대점,카페/디저트,0.9,0.0015455950540958269,053-854-0248,경북 경산시 진량읍 대구대로 250,317,61
이화참순대,한식,0.86,0.012364760432766615,053-856-3397,경북 경산시 하양읍 대경로147길 8-6,321,68
한솥도시락 대구대점,한식,0.96,0.0030911901081916537,053-854-0056,경북 경산시 진량읍 대구대로 240,445,68
충격정식,한식,0.96,0.00927357032457496,053-856-0016,경북 경산시 하양읍 하양로27길 8,384,68
조방낙지,"해물,생선",0.96,0.0030911901081916537,053-853-2651,경북 경산시 하양읍 대경로 745,347,71
유가네닭갈비 경산하양점,닭요리,0.86,0.03863987635239567,0503-5291-8533,경북 경산시 하양읍 문화로 2,307,14
역전우동0410 경산하양점,"돈까스,우동",0.8,0.017001545595054096,053-856-0410,경북 경산시 하양읍 하양로 56 1층,272,16
뚜레쥬르 경산하양점,"제과,베이커리",0.86,0.0061823802163833074,053-856-6363,경북 경산시 하양읍 하양로 69 크레용빌딩 103호,111,51
선돌댁,한식,0.6599999999999999,0.1143740340030912,053-852-0712,경북 경산시 하양읍 대학로305길 4-1,213,68
참좋은김밥천국 하양점,분식,0.32,0.010819165378670788,053-852-2177,경북 경산시 하양읍 하양로 88,368,25
제일구락부 대구대점,커피전문점,1.0,0.00927357032457496,,경북 경산시 진량읍 대구대로 230 A동,345,63
팔공티 대구대,카페/디저트,1.0,0.0077279752704791345,,경북 경산시 진량읍 대구대로 238 1층,423,61
섬섬밀밀,카페/디저트,0.6,0.1437403400309119,053-852-3301,경북 경산시 진량읍 대구대로 346,216,61
삼청당 경산하양점,분식,1.0,0.017001545595054096,053-267-4647,경북 경산시 하양읍 하양로 19 1층,206,25
흥실생고기,"육류,고기",0.86,0.0061823802163833074,053-857-1192,경북 경산시 하양읍 하양로 51-8 1층,475,42
해르트,커피전문점,0.9199999999999999,0.015455950540958269,010-9801-8021,경북 경산시 하양읍 하양로 45 2층,453,63
커피키친한일,카페,0.76,0.2117465224111283,,경북 경산시 하양읍 금송로 62,397,60
동서한우식육식당,한식,0.9,0.0061823802163833074,053-852-6866,경북 경산시 하양읍 하양로 171,104,68
행운기사님식당,기사식당,0.64,0.010819165378670788,053-857-2341,경북 경산시 진량읍 공단6로 134-13 1층,457,10
용이반점,중식,0.8800000000000001,0.030911901081916538,053-856-2226,경북 경산시 하양읍 대경로 865,296,54
미소국수 경산하양점,국수,0.9,0.03863987635239567,,경북 경산시 하양읍 대경로147길 14-5 1층,154,8
205호,한식,1.0,0.0077279752704791345,010-7112-2052,경북 경산시 하양읍 대경로 669-9 205호,2,68
우리할매떡볶이 경산하양점,떡볶이,0.9,0.021638330757341576,053-856-3417,경북 경산시 하양읍 하양로 35 하양3차우방타운 105동 1층 102호,298,21
전설의숯불고기,"육류,고기",1.0,0.18238021638330756,,경북 경산시 진량읍 공단1로 28-1 1층,339,42
청년다방 대구대학교점,떡볶이,0.2,0.02009273570324575,053-857-3999,경북 경산시 진량읍 대구대로 250,369,21
서부장연평도해물찜,"해물,생선",1.0,0.00463678516228748,053-853-6048,경북 경산시 하양읍 하양로25길 5-1,209,71
본도시락 경산하양점,한식,0.9400000000000001,0.010819165378670788,053-853-4282,경북 경산시 하양읍 대학로 1514 1층,182,68
No.1# 또오고마라탕 경산하양점,중식,0.2,0.0015455950540958269,053-854-8250,경북 경산시 하양읍 대학로298길 19-7 1층,9,54
팔팔생고기 하양점,"육류,고기",0.2,0.0030911901081916537,053-219-8892,경북 경산시 하양읍 하양로 21,424,42
앙쥬베이커리,"제과,베이커리",1.0,0.0030911901081916537,053-852-0403,경북 경산시 하양읍 하양로 184,261,51
타이요,일식,0.9199999999999999,0.03245749613601236,053-851-6848,경북 경산시 하양읍 하양역길 20 2층,403,48
병천청년순대국 하양점,순대,0.8,0.00463678516228748,,경북 경산시 하양읍 대경로 862 b동 1층,178,32
토속정,국수,1.0,0.00463678516228748,053-853-4503,경북 경산시 진량읍 낙산길 29,411,8
언니야닭도리탕&찜닭,닭요리,1.0,0.0015455950540958269,010-2473-9216,"경북 경산시 진량읍 봉황길 12 진량시장 6, 7호",266,14
꿈바우버섯집,한식,0.9400000000000001,0.00463678516228748,,경북 경산시 하양읍 대학로 1544,51,68
디나폴리,카페,0.6599999999999999,0.00463678516228748,053-851-7223,경북 경산시 진량읍 대구대로 290-1,109,60
미미관마라탕 하양점,중식,0.8400000000000001,0.00463678516228748,,경북 경산시 하양읍 문화로 16-1 1층,153,54
대영숯불돼지갈비,갈비,1.0,0.00927357032457496,053-857-9283,경북 경산시 진량읍 해든길1길 6-6,81,1
한솥도시락 대구대점,도시락,0.96,0.0030911901081916537,053-854-0056,경북 경산시 진량읍 대구대로 240,445,15
가야 청국장,한식,0.72,0.01854714064914992,053-854-7711,경북 경산시 하양읍 대학로 1517-9,13,68
러빗커피,카페/디저트,1.0,0.0061823802163833074,,경북 경산시 진량읍 대구대로60길 5-10 1층,116,61
올더모어,카페,0.8,0.11128284389489954,010-980-2390,경북 경산시 하양읍 문화로 90 1층,287,60
와플베어,"제과,베이커리",1.0,0.0077279752704791345,,경북 경산시 진량읍 대구대로 230 F동,292,51
본죽&비빔밥cafe 경산진량점,퓨전한식,1.0,0.0030911901081916537,053-853-6288,경북 경산시 진량읍 공단로 503 1층,184,66
지코바 진량점,치킨,0.8,0.0015455950540958269,053-856-9909,경북 경산시 진량읍 공단2로9길 7,356,59
두부마을,두부전문점,0.2,0.010819165378670788,053-854-9800,경북 경산시 하양읍 화성로 242,106,18
명랑핫도그 하양점,패스트푸드,0.8,0.0030911901081916537,053-216-9716,경북 경산시 하양읍 하양로 74-1 1층,143,65
환도네,한식,1.0,0.04791344667697063,010-5510-7309,경북 경산시 진량읍 대구대로 283 1층,469,68
써브웨이 경산하양점,샌드위치,0.74,0.02627511591962906,053-857-5761,경북 경산시 하양읍 하양로 34 1층,252,29
하양닭서리,치킨,0.9,0.05873261205564142,,경북 경산시 진량읍 대학로 1332,438,59
수연식당,한식,0.9,0.015455950540958269,010-7189-9540,경북 경산시 하양읍 무학로3길 5,224,68
우방김밥분식,분식,0.5599999999999999,0.0030911901081916537,053-854-4333,경북 경산시 하양읍 문화로 3,299,25
송이돼지국밥,한식,0.8800000000000001,0.01854714064914992,053-851-3245,경북 경산시 하양읍 대경로 844,222,68
신기한꽃게장 하양점,한식,0.2,0.02472952086553323,053-857-8887,경북 경산시 하양읍 대학로 1512 1층,242,68
후라이드참잘하는집 하양점,치킨,1.0,0.012364760432766615,053-857-0426,경북 경산시 하양읍 대경로147길 14 1층 102호,472,59
평사튀김떡볶이,떡볶이,0.4,0.00463678516228748,053-853-2884,경북 경산시 진량읍 대구대로 287,425,21
누리마을감자탕 하양점,감자탕,0.4,0.14992272024729522,053-854-2277,경북 경산시 하양읍 대경로 709,65,2
순살의민족&화평댁닭구이 하양점,닭요리,1.0,0.04327666151468315,0502-5550-3533,경북 경산시 하양읍 대경로 669-6 1층 105호,225,14
한우99갈비,갈비,0.3,0.0030911901081916537,053-851-8044,경북 경산시 진량읍 공단2로9길 19,448,1
대풍이주먹밥 하양점,분식,0.9,0.00463678516228748,053-851-5016,경북 경산시 하양읍 하양역길 19-3 1층,85,25
도리집 하양점,일식,1.0,0.00927357032457496,,경북 경산시 하양읍 하양로 47 104호,95,48
오가네짬뽕,중국요리,1.0,0.021638330757341576,,경북 경산시 하양읍 서사도리9로 18 골드주차타워 102호,277,53
대원식당,한식,0.8,0.0015455950540958269,053-856-8577,경북 경산시 진량읍 공단5로4길 54,83,68
양푼이 국수,국수,1.0,0.0015455950540958269,053-856-9494,경북 경산시 진량읍 공단2로 43,264,8
뚜레쥬르 경산하양점,"제과,베이커리",0.86,0.0061823802163833074,053-856-6363,경북 경산시 하양읍 하양로 69 크레용빌딩 103호,111,51
시인과촌장,"호프,요리주점",0.9199999999999999,0.0030911901081916537,054-851-6316,경북 경산시 하양읍 하양로 76-1,241,74
와촌식육식당 진량1호점,"육류,고기",0.33999999999999997,0.015455950540958269,053-856-8893,경북 경산시 진량읍 대학로 1052 1층,289,42
올더모어,카페,0.8,0.11128284389489954,010-980-2390,경북 경산시 하양읍 문화로 90 1층,287,60
맘스터치 대구대점,패스트푸드,0.86,0.0030911901081916537,053-246-2004,경북 경산시 진량읍 대구대로 252-2,135,65
장호덕손만두 경산하양점,분식,0.8,0.15919629057187018,053-856-1123,경북 경산시 하양읍 하양로 35 하양우방타운3차아파트 상가동 1층 122호,338,25
밥먹고갑시다,한식,1.0,0.0015455950540958269,,경북 경산시 하양읍 금송로 58 A동,164,68
가지골소고기국밥,국밥,0.6,0.0633693972179289,053-816-3388,경북 경산시 진량읍 일연로 722,16,7
기영이숯불두마리치킨 경산하양점,치킨,0.2,0.02627511591962906,053-851-0592,경북 경산시 하양읍 대학로 1514 1층,45,59
임가네해물촌 진량점,한식,0.8,0.00927357032457496,053-856-3386,경북 경산시 진량읍 대학로 1410,331,68
태성추어탕,한식,1.0,0.012364760432766615,053-851-7552,경북 경산시 하양읍 하양로 221,406,68
배스킨라빈스 경산무학점,아이스크림,0.7,0.0061823802163833074,053-857-6788,경북 경산시 하양읍 서사도리4로 2,166,37
엄마네손맛,한식,0.8,0.0015455950540958269,053-854-3443,경북 경산시 하양읍 대곡로 8,268,68
안동찜닭전문점 안동 본점,닭요리,1.0,0.03709428129829984,053-851-7171,경북 경산시 하양읍 문화로 12,258,14
평화김해뒷고기 하양점,"육류,고기",0.33999999999999997,0.023183925811437404,,경북 경산시 하양읍 대경로 653 휴가오피스텔 1층,426,42
애월연어 진량점,일식,1.0,0.0061823802163833074,053-856-8037,경북 경산시 진량읍 공단6로24길 23-8 1층,262,48
카페빈트리,카페/디저트,1.0,0.0030911901081916537,053-852-3310,경북 경산시 하양읍 대경로159길 30 1층,391,61
팔팔생고기 하양점,"육류,고기",0.2,0.0030911901081916537,053-219-8892,경북 경산시 하양읍 하양로 21,424,42
비니 쌀국수,베트남음식,1.0,0.0015455950540958269,,경북 경산시 진량읍 부림로 281-11 1층,194,23
카페아이엔지 대구대학교점,카페,0.6,0.00463678516228748,0506-731-0033,경북 경산시 진량읍 대구대로 201 본관 지하1층,392,60
대가선지해장국,해장국,0.86,0.00463678516228748,053-853-9200,경북 경산시 하양읍 하양로 192,75,72
본봉베이커리,"제과,베이커리",1.0,0.015455950540958269,,경북 경산시 하양읍 하양로 170 1층,183,51
한솥도시락 하양무학점,도시락,1.0,0.015455950540958269,053-851-8972,경북 경산시 하양읍 서사도리7로 21 에스지타워 1층 106호,446,15
역전우동0410 경산대구대점,"돈까스,우동",0.4,0.0015455950540958269,053-853-1790,경북 경산시 진량읍 대구대로 252-3 1층,271,16
동궁찜닭 하양점,닭요리,0.8,0.0030911901081916537,053-851-9876,경북 경산시 하양읍 하양로 27 하양우방타운2차아파트 상가동 1층,100,14
다미,일본식주점,1.0,0.02936630602782071,053-853-3200,경북 경산시 하양읍 대경로147길 8 1층,68,47
오늘도술이달다,한식,1.0,0.0030911901081916537,,경북 경산시 진량읍 공단로 469,278,68
하양용두쭈꾸미,한식,1.0,0.19938176197836166,070-8866-4313,경북 경산시 하양읍 대학로298길 22 1층,441,68
프레드피자 하양진량점,피자,1.0,0.0077279752704791345,053-216-0406,경북 경산시 하양읍 아낙고개길6길 18,432,67
통큰김밥,한식,0.6,0.0077279752704791345,053-852-5501,경북 경산시 진량읍 공단2로 1,414,68
도로이,일본식주점,0.8400000000000001,0.05255023183925812,010-6575-8005,경북 경산시 하양읍 하양로 53-2 1층,94,47
샌드샌드,카페,1.0,0.012364760432766615,010-5170-0720,경북 경산시 진량읍 다문로 382 2층,207,60
스타벅스 경산하양DT점,카페/디저트,0.96,0.07418856259659969,1522-3232,경북 경산시 진량읍 대학로 1417,233,61
평사튀김떡볶이,떡볶이,0.4,0.00463678516228748,053-853-2884,경북 경산시 진량읍 대구대로 287,425,21
산아래,한식,1.0,0.0030911901081916537,053-854-8338,경북 경산시 하양읍 동서2길 41,201,68
선돌댁,한식,0.6599999999999999,0.1143740340030912,053-852-0712,경북 경산시 하양읍 대학로305길 4-1,213,68
푸라닭치킨 경산진량점,치킨,1.0,0.0015455950540958269,053-851-9206,경북 경산시 진량읍 다문로 85,428,59
낫낫,아시아/퓨전,0.9400000000000001,0.1143740340030912,053-851-7906,경북 경산시 하양읍 대학로 1512-2 1층,59,36
송이돼지국밥,국밥,0.8800000000000001,0.01854714064914992,053-851-3245,경북 경산시 하양읍 대경로 844,222,7
구포국수 하양본점,아시아/퓨전,0.72,0.023183925811437404,053-857-0606,경북 경산시 하양읍 하양로33길 3 1층,38,36
배스킨라빈스 경산하양점,아이스크림,0.45999999999999996,0.0061823802163833074,053-853-8132,경북 경산시 하양읍 하양로 58 1층,168,37
한들애,한식뷔페,0.5,0.0015455950540958269,053-851-9292,경북 경산시 하양읍 금송로 171,444,69
가야 청국장,한식,0.72,0.01854714064914992,053-854-7711,경북 경산시 하양읍 대학로 1517-9,13,68
BHC치킨 경산하양점,치킨,1.0,0.0077279752704791345,053-852-2098,경북 경산시 하양읍 하양로37길 19 코아루2차상가 1층,8,59
나미야,일식,0.9400000000000001,0.023183925811437404,,경북 경산시 하양읍 대경로147길 14,54,48
일미닭갈비밀면 대구대점,한식,0.6,0.0077279752704791345,053-853-1219,경북 경산시 진량읍 대구대로 238 2층,326,68
와플대학 경산하양캠퍼스,"제과,베이커리",1.0,0.01854714064914992,053-852-7151,경북 경산시 하양읍 하양로 35 하양우방타운 3차아파트 상가동 105동 1층 117호,291,51
가마솥서울식당,한식,1.0,0.0015455950540958269,053-856-6889,경북 경산시 하양읍 조산천서길 27,10,68
마사커피 하양점,카페,1.0,0.0030911901081916537,,경북 경산시 하양읍 대학로 1527,125,60
몬스터커피 경산하양점,커피전문점,1.0,0.017001545595054096,0507-0289-4111,경북 경산시 하양읍 서사도리4로 5 메이플라워 104호,147,63
강원도래요,한식,0.54,0.0015455950540958269,053-852-8494,경북 경산시 하양읍 대학로298길 19 1층,19,68
교동면옥 진량점,냉면,0.64,0.08191653786707882,053-854-0222,경북 경산시 진량읍 다문로 102,33,11
하양용두쭈꾸미,한식,1.0,0.19938176197836166,070-8866-4313,경북 경산시 하양읍 대학로298길 22 1층,441,68
다미,일식,1.0,0.02936630602782071,053-853-3200,경북 경산시 하양읍 대경로147길 8 1층,68,48
메가MGC커피 대구대학점,카페/디저트,0.74,0.0030911901081916537,053-857-9032,경북 경산시 진량읍 대구대로 244 1층,140,61
신대게 하양점,"게,대게",1.0,0.0030911901081916537,010-7733-7519,경북 경산시 하양읍 하양로 83,243,3
도로이,일본식주점,0.8400000000000001,0.05255023183925812,010-6575-8005,경북 경산시 하양읍 하양로 53-2 1층,94,47
차이나타운,중식,0.6799999999999999,0.04945904173106646,,경북 경산시 하양읍 하양로 218 1층,366,54
김경옥닭발전문점 하양점,닭요리,0.4,0.00463678516228748,053-852-3456,경북 경산시 하양읍 하양로 63-1,48,14
스시카츠 하양점,"초밥,롤",1.0,0.04636785162287481,053-852-7445,경북 경산시 하양읍 대경로 669-6 1층,230,57
배서방 돼지국밥,음식점,1.0,0.00463678516228748,,경북 경산시 진량읍 공단1로 44,165,43
누리마을감자탕 하양점,한식,0.4,0.14992272024729522,053-854-2277,경북 경산시 하양읍 대경로 709,65,68
백년미소장수촌,삼계탕,0.76,0.12364760432766615,053-854-2121,경북 경산시 하양읍 화성로 46,170,28
기영이숯불두마리치킨 경산하양점,치킨,0.2,0.02627511591962906,053-851-0592,경북 경산시 하양읍 대학로 1514 1층,45,59
구스켓인더크로플 하양점,커피전문점,1.0,0.03400309119010819,,경북 경산시 하양읍 금송로 2-1 1층,37,63
이디야커피 하양무학점,커피전문점,1.0,0.0061823802163833074,053-856-3374,경북 경산시 하양읍 서사도리7로 17 1층,316,63
나미야,일식,0.9400000000000001,0.023183925811437404,,경북 경산시 하양읍 대경로147길 14,54,48
꿈에본춘천집 하양점,닭요리,0.4,0.0077279752704791345,053-853-8988,경북 경산시 하양읍 하양로 73,52,14
다낭쌀국수,베트남음식,1.0,0.0030911901081916537,010-3307-8683,경북 경산시 하양읍 하양로 23 2층,66,23
못뚝식당,한식,0.74,0.00927357032457496,053-853-1648,경북 경산시 와촌면 대경로 1017 1층,148,68
평사튀김떡볶이,분식,0.4,0.00463678516228748,053-853-2884,경북 경산시 진량읍 대구대로 287,425,25
백스비어 하양점,"호프,요리주점",1.0,0.0061823802163833074,053-857-2224,경북 경산시 하양읍 하양로 46 1층,172,74
원조24시 굴뚝배기전문,한식,0.7,0.00463678516228748,053-852-2282,경북 경산시 진량읍 대학로 1394,304,68
복전복전,한식,0.6,0.0015455950540958269,053-857-5673,경북 경산시 진량읍 일연로 745-3,181,68
비니 쌀국수,아시아/퓨전,1.0,0.0015455950540958269,,경북 경산시 진량읍 부림로 281-11 1층,194,36
중화당 손칼국수,칼국수,1.0,0.0061823802163833074,053-851-2345,경북 경산시 하양읍 아낙고개길8길 4,352,62
대구반야월막창 진량점,"곱창,막창",0.8,0.0030911901081916537,053-851-2009,경북 경산시 진량읍 공단1로 49,79,5
주유천하,"호프,요리주점",0.6,0.0015455950540958269,010-6558-7744,경북 경산시 하양읍 아낙고개길 12 1층,349,74
밤마실,술집,0.86,0.0061823802163833074,053-853-2007,경북 경산시 진량읍 대구대로13길 12-2,163,33
